TERM_ID,INSTRUCTOR_NAME,COUNT(A.COURSE_ID)
2021fa,Abbas Kazemipour,1
2021fa,Adam Tashman,1
2021fa,Bill Basener,2
2021fa,Cait Dreisbach,1
2021fa,Eric Tassone,2
2021fa,Jeffrey Woo,1
2021fa,Jeremy Bolton,2
2021fa,Judy Fox,1
2021fa,Lei Xie,1
2021fa,Marc Ruggiano,1
2021fa,Pete Alonzi,1
2021fa,Peter Gedeck,1
2021fa,Raf Alvarado,1
2021fa,Renee Cummings,1
2021fa,Sree Mallikarjun,1
2021fa,Stephen Baek,1
2021fa,Teague Henry,1
2021sp,Adam Tashman,1
2021sp,Bill Basener,1
2021sp,Eric Field,1
2021sp,Jason Williamson,1
2021sp,Jeffrey Woo,1
2021sp,Jon Kropko,2
2021sp,Judy Fox,1
2021sp,Luis Felipe Rosado Murillo,2
2021sp,Mike Porter,1
2021sp,Panagiotis Apostolellis,1
2021sp,Pete Alonzi,1
2021sp,Raf Alvarado,1
2021sp,Rich Nguyen,1
2021sp,Sree Mallikarjun,1
2021su,Adam Tashman,1
2021su,Jason Williamson,1
2021su,Jeffrey Woo,1
2021su,Jeremy Bolton,1
2021su,Jon Kropko,1
2021su,Nada Basit,1
2021su,Pete Alonzi,1
2021su,Peter Gedeck,1
2021su,Raf Alvarado,2
2021su,Renee Cummings,2
2021su,Rich Nguyen,1
2021su,Sree Mallikarjun,1
2021su,Teague Henry,2
